id	component	target	viewpoint	expected	dimension	technique
crud-05	crud		Delete: confirm, cancel, and a record others depend on	Deleted, kept, or refused per spec; soft or hard delete as the spec says	8	DT
crud-06	crud		Opening a deleted record by its URL	Not found or its deleted state, per spec	4	
crud-07	crud		Created and updated dates and author	Recorded and shown correctly	8	
crud-08	crud		Stored data after each action	The table and columns the spec names hold the expected values	8	
permission-01	permission		Each role in the permission table, for each action	Allowed or refused exactly as the table says	1	DT
permission-02	permission		A refused action reached by URL or a direct API call	Refused on the server, not only hidden on screen	1	EP
permission-03	permission		A record of another tenant or user reached by changing its ID	Refused	1	EG
permission-04	permission		A role changed while the user is signed in	Takes effect per spec	5	
permission-05	permission		Buttons and menu items per role	Shown, hidden, or disabled as the table says	1	DT
notify-01	notify		Recipients: who receives it and who does not	Exactly the recipients the spec names	1	DT
notify-02	notify		Subject, body, sender, and links	As the spec states, with the variables filled in	8	
notify-03	notify		Triggered twice by a retry or double action	Sent once	9	EG
notify-04	notify		Sending failing	Retried or logged per spec; whether the main action completes or rolls back per spec	6	
notify-05	notify		A recipient with no address, or one who opted out	Skipped per spec	8	EP
notify-06	notify		Read and unread state, and the count badge	Updated when read	4	ST
nav-01	nav		Breadcrumb levels, labels, and each link	As the screen spec shows; each link goes to its screen	4	
nav-02	nav		Page title and the highlighted menu item	Match the current screen	4	
nav-03	nav		Browser back and forward after an action	Shows the right state and does not repeat the action	4	EG
nav-04	nav		Reloading a screen reached through a flow	Shows the same screen or a clear message	4	EG
nav-05	nav		Links that open in a new tab, and external links	As the spec states	7	EP
nav-06	nav		Menu items per role	Only the ones the role may use	1	DT
